Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ECO3130-01-00	국제금융론	3	김정식	화5,6,목4	상본B120	126	92	70 (N)	0	12	44	70	O	12	1	12	10.24
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (N)	6	Y	Y	1.0000	1.0000	4	O	 
2	12	Y (Y)	6	Y	Y	0.9285	1.0000	4	O	 
3	12	Y (Y)	6	Y	Y	0.9126	0.8333	4	O	 
4	12	Y (N)	6	N	Y	1.0000	1.0000	4	O	 
5	12	Y (N)	6	N	Y	0.9175	1.0000	4	O	 
6	12	Y (Y)	6	N	Y	0.9037	0.9473	4	O	 
7	12	Y (Y)	6	N	Y	0.8968	0.8333	4	O	 
8	12	Y (N)	6	N	Y	0.8444	0.9473	4	O	 
9	12	Y (N)	6	N	Y	0.8412	1.0000	4	O	 
10	12	Y (Y)	6	N	Y	0.8333	1.0000	4	O	 
11	12	Y (Y)	6	N	Y	0.8253	0.8333	4	O	 
12	12	Y (N)	6	N	Y	0.8222	1.0000	4	O	 
13	12	Y (Y)	6	N	Y	0.8174	1.0000	4	O	 
14	12	Y (N)	6	N	Y	0.7777	0.7894	4	O	 
15	12	Y (N)	6	N	Y	0.7698	1.0000	4	O	 
16	12	Y (N)	6	N	Y	0.7380	0.8333	4	O	 
17	12	Y (Y)	6	N	Y	0.7142	1.0000	4	O	 
18	12	Y (N)	6	N	Y	0.6666	0.7894	3	O	 
19	12	Y (Y)	6	N	Y	0.6587	0.8333	4	O	 
20	12	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
21	12	Y (Y)	6	N	Y	0.6428	0.8333	3	O	 
22	12	Y (Y)	6	N	Y	0.6349	0.9444	3	O	 
23	12	Y (Y)	6	N	Y	0.6031	0.6944	3	O	 
24	12	Y (Y)	6	N	Y	0.5714	0.8611	3	O	 
25	12	Y (Y)	6	N	Y	0.5674	0.8333	3	O	 
26	12	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
27	12	Y (Y)	6	N	Y	0.5476	1.0000	3	O	 
28	12	Y (Y)	6	N	Y	0.5396	0.9444	3	O	 
29	12	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
30	12	Y (Y)	6	N	Y	0.5238	0.8333	3	O	 
31	12	Y (Y)	6	N	Y	0.5158	1.0000	3	O	 
32	12	Y (Y)	6	N	Y	0.5079	0.8611	3	O	 
33	12	Y (Y)	6	N	Y	0.5079	0.8333	3	O	 
34	12	Y (Y)	6	N	Y	0.5000	1.0000	3	O	 
35	12	Y (Y)	6	N	Y	0.5000	0.8750	3	O	 
36	12	Y (Y)	6	N	Y	0.5000	0.8750	3	O	 
37	12	Y (Y)	6	N	Y	0.5000	0.8333	3	O	 
38	12	Y (Y)	6	N	Y	0.4920	1.0000	3	O	 
39	12	Y (Y)	6	N	Y	0.4841	1.0000	3	O	 
40	12	Y (N)	6	N	Y	0.4740	0.9473	3	O	 
41	12	Y (N)	6	N	Y	0.4296	0.9473	3	O	 
42	12	Y (N)	6	N	N	0.9111	0.6842	4	O	 
43	12	Y (N)	5	N	Y	0.8333	1.0000	4	O	 
44	12	Y (Y)	5	N	Y	0.7777	0.8333	4	O	 
45	12	Y (N)	5	N	Y	0.7619	1.0000	3	O	 
46	12	Y (Y)	5	N	Y	0.6904	1.0000	4	O	 
47	12	Y (Y)	5	N	Y	0.6031	0.8333	3	O	 
48	12	Y (Y)	4	N	Y	0.5000	0.8750	3	O	 
49	12	N (N)	6	Y	Y	0.9444	1.0000	4	O	 
50	12	N (N)	6	Y	Y	0.8888	0.9473	4	O	 
51	12	N (N)	6	N	Y	0.8962	0.7894	4	O	 
52	12	N (N)	6	N	Y	0.8333	1.0000	4	O	 
53	12	N (N)	6	N	Y	0.8015	0.9444	4	O	 
54	12	N (N)	6	N	Y	0.6962	0.7894	4	O	 
55	12	N (N)	6	N	Y	0.6904	1.0000	3	O	 
56	12	N (N)	5	N	Y	0.7500	0.8750	4	O	 
57	12	N (N)	5	N	Y	0.5000	0.8750	3	O	 
58	12	N (N)	4	N	Y	0.9365	1.0000	4	O	 
59	12	N (N)	4	N	Y	0.5317	0.5000	3	O	 
60	12	N (N)	4	N	N	0.8074	0.7894	4	O	 
61	12	N (N)	3	Y	Y	1.0000	0.1666	4	O	 
62	12	N (N)	3	N	Y	1.0000	0.8333	4	O	 
63	10	Y (Y)	6	N	Y	0.7698	1.0000	4	O	 
64	10	Y (Y)	6	N	Y	0.7142	0.8888	4	O	 
65	10	Y (Y)	6	N	Y	0.4920	0.8888	3	O	 
66	9	Y (Y)	6	N	Y	0.9841	1.0000	4	O	 
67	9	Y (N)	6	N	Y	0.5629	0.6315	3	O	 
68	8	Y (Y)	6	N	Y	0.6190	0.6666	3	O	 
69	8	Y (Y)	6	N	Y	0.5952	1.0000	3	O	 
70	6	Y (Y)	6	N	Y	0.7222	0.8333	4	O	 
71	6	N (N)	6	Y	Y	0.8571	0.9444	4	O	 
72	6	N (N)	6	N	Y	0.6746	0.6666	4	O	 
73	5	Y (Y)	6	N	Y	0.2936	0.8333	2	O	 
74	4	Y (Y)	6	N	Y	0.7460	0.8333	4	O	 
75	4	Y (Y)	6	N	Y	0.5079	0.8611	3	O	 
76	4	Y (Y)	6	N	Y	0.3730	0.9444	2	O	 
77	3	Y (Y)	6	N	N	0.9047	1.0000	4	O	 
78	3	N (N)	6	N	Y	0.7916	1.0000	4	O	 
79	3	N (N)	5	N	Y	0.4962	0.6315	3	O	 
80	1	Y (N)	6	N	Y	0.7333	0.4736	4	O	 
81	1	Y (Y)	6	N	Y	0.6428	0.9444	3	O	 
82	1	Y (Y)	6	N	Y	0.4126	0.8333	3	O	 
83	1	Y (Y)	6	N	Y	0.2460	0.8888	2	O	 
84	1	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
85	1	N (N)	5	N	Y	0.7698	0.6666	4	O	 
0	12	Y (Y)	6	N	Y	0.6269	1.0000	3	O	* 
0	12	Y (Y)	4	N	Y	0.4365	0.8333	3	O	* 
0	12	Y (Y)	6	N	Y	0.7380	0.8333	4	O	* 
0	12	Y (Y)	6	N	Y	0.5476	1.0000	3	O	* 
0	12	Y (Y)	6	N	Y	0.5079	1.0000	3	O	* 
0	12	Y (Y)	6	N	Y	0.7539	0.8333	4	O	* 
0	12	Y (Y)	6	N	Y	0.6746	1.0000	3	O	* 
